CAMIS,yelp_cat,price,rating,review_count,longitude,latitude,opens,closes,is_overnight
30075445,Bakeries,2.0,4.0,43.0,40.84839,-73.85601,,,False
30112340,Burgers,1.0,2.0,39.0,40.662952,-73.961753,1000.0,2900.0,True
30191841,Other,,,,,,,,False
40356018,Caterers,,4.5,44.0,40.57952,-73.98243,,,False
40356151,Other,2.0,4.0,4.0,40.7644282050773,-73.8849368691444,900.0,2000.0,False
40356483,Delis,2.0,3.5,41.0,40.6199,-73.90685,600.0,2100.0,False
40356731,Ice Cream & Frozen Yogurt,1.0,4.5,38.0,40.64083,-73.94835,930.0,2300.0,False
40357217,Other,,,,,,,,False
40359480,Other,,,,,,,,False
40359705,Fast Food,1.0,3.5,1190.0,40.57539,-73.98151,900.0,2400.0,False
40360045,Caterers,,4.0,5.0,40.606472,-73.965415,,,False
40360076,Ice Cream & Frozen Yogurt,1.0,3.5,30.0,40.6434787,-73.9781848,,,False
40361322,Other,,,,,,,,False
40361618,Sandwiches,1.0,4.5,11.0,40.781479,-73.839311,,,False
40361998,Delis,1.0,4.0,4.0,40.7647473,-73.9388749,600.0,1300.0,False
40362264,Delis,,1.0,2.0,40.7926174,-73.9679198,,,False
40362274,Cafes,2.0,3.5,471.0,40.72572,-73.99706,1100.0,2200.0,False
40362432,Chinese,1.0,5.0,4.0,40.75355,-73.86423,,,False
40362715,Breakfast & Brunch,1.0,2.0,26.0,40.706241,-74.008506,700.0,1900.0,False
40362869,Other,,,,,,,,False
40363098,Coffee & Tea,1.0,2.0,17.0,40.692241,-73.991424,600.0,2000.0,False
40363298,Cafes,,5.0,1.0,40.755322,-73.9932872,,,False
40363426,Delis,1.0,4.5,25.0,40.75183,-73.975518,,,False
40363427,Coffee & Tea,1.0,3.5,42.0,40.610752,-74.146368,,,False
40363565,Bagels,1.0,3.0,68.0,40.7133388,-73.8740688,500.0,1600.0,False
40363630,Other,2.0,2.0,29.0,40.7753,-73.95678,1000.0,2200.0,False
40363685,Other,,,,,,,,False
40363834,Ice Cream & Frozen Yogurt,2.0,2.5,20.0,40.5987228713913,-74.0796807925579,1000.0,2300.0,False
40363920,Chinese,,4.5,2.0,40.6620599,-73.92708,,,False
40363945,Other,,,,,,,,False
40364149,Bakeries,1.0,3.5,28.0,40.7504037325136,-73.9891191041158,1000.0,2100.0,False
40364179,Other,,,,,,,,False
40364220,Breakfast & Brunch,1.0,4.0,56.0,40.62541,-73.96157,600.0,1900.0,False
40364286,Delis,1.0,4.5,20.0,40.57346,-74.11787,,,False
40364296,Chinese,1.0,4.0,3.0,40.86352,-73.89404,,,False
40364299,Bagels,1.0,2.0,4.0,40.55643,-74.15236,630.0,2000.0,False
40364305,American (Traditional),2.0,4.5,60.0,40.61265,-74.0340499,1100.0,2300.0,False
40364335,Steakhouses,4.0,4.0,5596.0,40.709945,-73.962478,1145.0,2245.0,False
40364347,Other,,4.5,29.0,40.76482,-73.97212,2100.0,2800.0,True
40364362,American (Traditional),3.0,3.5,619.0,40.76037,-73.97741,1200.0,2200.0,False
40364363,Venues & Event Spaces,,5.0,1.0,40.82913,-73.8144,,,False
40364373,Italian,3.0,4.0,219.0,40.76283,-73.96602,1130.0,2200.0,False
40364389,Bars,2.0,3.5,377.0,40.737594,-73.989166,1130.0,2600.0,True
40364404,Venues & Event Spaces,2.0,3.5,88.0,40.72255,-73.94832,,,False
40364439,Bars,2.0,3.5,455.0,40.7348725944757,-74.0029708296061,1200.0,3600.0,True
40364443,Other,,,,,,,,False
40364449,Bars,1.0,4.5,48.0,40.706891,-73.905479,1300.0,2700.0,True
40364467,Other,,,,,,,,False
40364518,Other,,,,,,,,False
40364531,Other,2.0,3.5,48.0,40.7659436,-73.9805679,830.0,2030.0,False
40364572,American (Traditional),2.0,3.5,88.0,40.765426,-73.96553,1130.0,2230.0,False
40364576,French,2.0,3.5,314.0,40.7634048461914,-73.986213684082,1200.0,2400.0,False
40364581,Bakeries,2.0,3.5,1649.0,40.6901654162858,-73.9819239670089,630.0,2500.0,True
40364668,Italian,4.0,3.0,41.0,40.74314,-73.97759,1700.0,2200.0,False
40364681,Bars,2.0,3.0,7.0,40.58781,-73.95444,1400.0,2800.0,True
40364691,Other,,,,,,,,False
40364715,Steakhouses,4.0,3.5,1011.0,40.74121,-74.00477,1200.0,2330.0,False
40364744,Pizza,1.0,4.0,726.0,40.6627403949909,-73.8403776268684,1100.0,2400.0,False
40364858,Other,,4.0,8.0,40.77666,-73.75219,,,False
40364920,Pizza,1.0,4.0,577.0,40.76335,-73.91516,1100.0,2300.0,False
40364956,Other,,,,,,,,False
